,Ville,Nombre de requetes mensuelles totales,Nombre etablissement booking,Score,Latitude,Longitude,geometry
29,casal dos feros,0.0,322,0.0,39.130172,-9.3701125,POINT (-9.3701125 39.130172)
30,casal dos pianos,0.0,1602,0.0,38.8871581,-9.4334795,POINT (-9.4334795 38.8871581)
31,cascais,55500.0,74,750.0,38.6968919,-9.4204495,POINT (-9.4204495 38.6968919)
32,castelo do neiva,50.0,3,16.666666666666668,41.6237388,-8.7950443,POINT (-8.7950443 41.6237388)
33,cercal,50.0,5,10.0,37.792439,-8.668855,POINT (2.1901982 36.6075021)
34,charneca de caparica,50.0,10,5.0,38.6285507,-9.1974387,POINT (-9.1974387 38.6285507)
35,chipiona,50050.0,28,1787.5,36.7355451,-6.4348221,POINT (-6.4348221 36.7355451)
36,coimbrão,50.0,2,25.0,39.8974114,-8.88276,POINT (-8.88276 39.8974114)
37,colónia penal,0.0,1,0.0,41.18819,-8.35417,POINT (-51.5975325 -29.9472117)
38,comporta,5500.0,2,2750.0,38.3803765,-8.7859968,POINT (-8.7859968 38.3803765)
39,costa da caparica,50500.0,32,1578.125,38.6445165,-9.2336068,POINT (-9.2336068 38.6445165)
40,el puerto de santa maría,500.0,87,5.747126436781609,36.6004006,-6.2252702,POINT (-6.2252702 36.6004006)
41,el rompido,5000.0,8,625.0,37.2225915,-7.1237849,POINT (-7.1237849 37.2225915)
42,ericeira,10500.0,45,233.33333333333331,38.9632411,-9.4170802,POINT (-9.4170802 38.9632411)
43,esmoriz,550.0,9,61.11111111111112,40.9602526,-8.6228198,POINT (-8.6228198 40.9602526)
44,espinho,6000.0,13,461.5384615384616,41.0083643,-8.6394111,POINT (-8.6394111 41.0083643)
45,esposende,5550.0,31,179.03225806451613,41.5315251,-8.7792538,POINT (-8.7792538 41.5315251)
46,faro,55550.0,124,447.983870967742,37.0162727,-7.9351771,POINT (-7.9351771 37.0162727)
47,ferragudo,5050.0,12,420.8333333333333,37.1235893,-8.5198921,POINT (-8.5198921 37.1235893)
48,ferrel,100.0,9,11.11111111111111,39.3643517,-9.3161038,POINT (-9.3161038 39.3643517)
49,figueira da foz,50500.0,36,1402.7777777777778,40.1485808,-8.855655,POINT (-8.855655 40.1485808)
50,foz do arelho,5050.0,12,420.8333333333333,39.4329582,-9.2173901,POINT (-9.2173901 39.4329582)
51,foz do douro,500.0,11,45.45454545454545,41.1508459,-8.6691083,POINT (-8.6691083 41.1508459)
52,fuseta,550.0,10,55.0,37.0551731,-7.7461861,POINT (-7.7461861 37.0551731)
53,fão,500.0,11,45.45454545454545,41.5123027,-8.7729003,POINT (-8.7729003 41.5123027)
54,gafanha da boa hora,100.0,2,50.0,40.5415762,-8.7553714,POINT (-8.7553714 40.5415762)
55,gafanha da encarnação,50.0,1,50.0,40.6173145,-8.7336063,POINT (-8.7336063 40.6173145)
56,gafanha do carmo,0.0,1,0.0,40.5878527,-8.7415226,POINT (-8.7415226 40.5878527)
57,gondarém,0.0,1,0.0,41.9180405,-8.7565395,POINT (-8.7565395 41.9180405)
58,guarda do norte,0.0,14,0.0,39.9607656,-8.9131616,POINT (-8.9131616 39.9607656)
59,isla canela,5000.0,13,384.61538461538464,37.1726952,-7.3735662,POINT (-7.3735662 37.1726952)
